REGO,ID,C01_LNO,C03_REL,C04_SEX,C05_AGE,C06_STATUS,C08_CUR_ATTEND,C09_CUR_GRADE,C10_YNOT_ATTND,C12_HGC,C13_DID_WORK,C14_CLS_WKR,PPENSSS01,PPENGSIS02,PPHEALTH03A,PPHEALTH03B,PINSURANCE04,PPS01,PTWSP02,PCBEP03,PSBSFAG04,PSBSFAP05,SEAK01,CBLP02,PEAF03,SKILLS04,PSFEED05,MEM_RFACT
12,0000000010019,03,3,1,20,1,1,740,  ,730,2, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01685.3643
12,0000000010019,04,3,1,17,1,1,510,  ,500,2, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01105.7299
12,0000000010019,05,3,2,15,1,1,500,  ,490,2, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01287.1849
12,0000000010019,06,3,2,13,1,1,480,  ,470,2, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00974.7446
12,0000000010019,07,3,1,11,1,1,460,  ,450,2, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00964.5793
12,0000000010019,08,3,2,09,1,1,440,  ,430,2, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01063.1986
12,0000000010020,01,1,2,28,2, ,   ,  ,720,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01456.0141
12,0000000010020,02,3,2,05,1,1,010,  ,000,2, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01063.1986
12,0000000010020,03,3,2,03,1,3,   ,09,   , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01144.6392
12,0000000010021,01,1,1,24,2,3,   ,07,150,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01685.3643
12,0000000010021,02,2,2,27,2, ,   ,  ,210,2, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01456.0141
12,0000000010021,03,3,2,04,1,3,   ,09,   , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01144.6392
12,0000000010021,04,3,1,01,1, ,   ,  ,   , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01261.1395
12,0000000010021,05,3,2,00,1, ,   ,  ,   , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01144.6392
12,0000000010022,01,1,1,29,2, ,   ,  ,250,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01521.9836
12,0000000010022,02,2,2,28,2, ,   ,  ,250,2, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01456.0141
12,0000000010022,03,3,1,08,1,1,440,  ,430,2, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01073.8518
12,0000000010022,04,3,1,05,1,1,010,  ,000,2, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01073.8518
12,0000000010022,05,3,2,00,1, ,   ,  ,   , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01144.6392
12,0000000010023,01,1,1,42,2, ,   ,  ,130,1,2,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,01174.3005
12,0000000010023,02,3,2,18,1,1,510,  ,500,2, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01287.1849
12,0000000010023,03,3,2,16,1,1,490,  ,480,2, ,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,01287.1849
